payment_id,loan_id,payment_date,due_date,payment_amount,principal_component,interest_component,fee_component,days_past_due,currency,payment_method
38,3,2027-11-28,2027-11-23,2376176.17,2046884.81,327551.18,1740.18,10,EUR,ACH
39,3,2028-02-25,2028-02-25,1701907.15,1408587.5,291335.53,1984.12,5,EUR,ACH
40,3,2028-05-24,2028-05-29,1399116.19,1155908.89,241819.53,1387.77,0,EUR,ACH
41,3,2028-08-27,2028-08-31,1338596.09,979162.81,358155.15,1278.13,1,EUR,ACH
42,4,2024-06-01,2024-06-06,1038644.84,743073.66,293597.2,1973.98,0,GBP,Wire
43,4,2024-08-18,2024-08-18,807636.16,600064.38,205989.06,1582.72,5,GBP,Wire
44,4,2024-10-30,2024-10-30,1702199.04,1503989.19,196946.89,1262.96,5,GBP,ACH
45,4,2025-01-16,2025-01-11,2429175.69,2165200.11,262296.24,1679.34,10,GBP,ACH
46,4,2025-03-22,2025-03-25,970271.08,595821.64,373471.44,978.0,2,GBP,Check
47,4,2025-06-01,2025-06-06,2122711.0,1840397.97,281347.02,966.01,0,GBP,ACH
48,4,2025-08-14,2025-08-19,1344637.93,1029925.19,312879.29,1833.45,0,GBP,Check
49,5,2024-11-08,2024-11-11,2458501.46,1896960.24,561454.72,86.5,2,GBP,Check
50,5,2025-01-24,2025-01-29,2422086.24,1828287.92,592261.9,1536.42,0,GBP,Wire
51,5,2025-04-15,2025-04-19,1230249.57,839141.37,390461.81,646.39,1,GBP,ACH
52,5,2025-07-03,2025-07-08,872374.13,510015.93,362313.93,44.27,0,GBP,Wire
53,5,2025-09-21,2025-09-26,1103350.98,724979.31,377768.67,603.0,0,GBP,ACH
54,5,2025-12-09,2025-12-14,2161107.37,1626420.56,533536.07,1150.74,0,GBP,Wire
55,5,2026-02-27,2026-03-04,2491033.63,1989756.49,500038.17,1238.97,0,GBP,ACH
56,5,2026-05-18,2026-05-23,548514.8,61129.68,486240.82,1144.3,0,GBP,Wire
57,5,2026-08-06,2026-08-11,2083003.96,1677840.46,404846.07,317.43,0,GBP,Check
58,5,2026-10-24,2026-10-29,1235578.82,838337.15,395409.54,1832.13,0,GBP,Wire
59,5,2027-01-12,2027-01-17,1553943.35,1063464.2,489654.13,825.02,0,GBP,ACH
60,5,2027-04-02,2027-04-07,1233449.46,829612.98,402851.98,984.5,0,GBP,ACH
61,5,2027-06-23,2027-06-26,2096044.64,1605706.1,490064.89,273.65,2,GBP,Wire
62,5,2027-09-08,2027-09-13,1590741.38,1207605.7,382409.91,725.77,0,GBP,Check
63,5,2027-11-27,2027-12-02,882083.4,420887.39,460340.4,855.61,0,GBP,Check
64,5,2028-02-15,2028-02-20,3032685.58,2479463.74,552804.48,417.36,0,GBP,Check
65,5,2028-05-06,2028-05-10,2486495.85,2047622.19,436957.2,1916.46,1,GBP,ACH
66,5,2028-07-29,2028-07-29,1646188.46,1244457.5,401709.52,21.44,5,GBP,Check
67,6,2025-04-01,2025-04-04,3873845.69,3179339.54,694348.17,157.98,2,EUR,Wire
68,6,2025-06-01,2025-06-06,1049679.45,662547.72,385369.57,1762.16,0,EUR,ACH
69,6,2025-08-04,2025-08-08,443297.9,67469.46,375321.85,506.59,1,EUR,Check
70,6,2025-10-06,2025-10-11,4427532.59,3696076.38,729566.93,1889.28,0,EUR,Check
71,6,2025-12-10,2025-12-13,2523474.69,2039270.41,483173.13,1031.15,2,EUR,ACH
72,6,2026-02-09,2026-02-14,4216849.82,3466272.28,749300.15,1277.39,0,EUR,Wire
73,6,2026-04-14,2026-04-19,4515956.17,3859554.6,655821.53,580.04,0,EUR,Check
74,6,2026-06-16,2026-06-21,3249495.21,2637907.88,609860.4,1726.93,0,EUR,ACH
75,6,2026-08-20,2026-08-23,1345617.45,859058.65,484603.31,1955.49,2,EUR,Check
76,6,2026-10-22,2026-10-26,2265273.49,1737449.3,527483.62,340.57,1,EUR,Wire
77,6,2026-12-23,2026-12-28,3672183.85,3165856.14,505855.09,472.62,0,EUR,Wire
78,6,2027-03-06,2027-03-01,1776842.97,1246311.58,529053.45,1477.94,10,EUR,Check
79,6,2027-04-29,2027-05-04,2998403.37,2483084.56,513448.63,1870.18,0,EUR,Wire
80,6,2027-07-01,2027-07-06,2951369.48,2501072.85,448955.96,1340.67,0,EUR,ACH
81,6,2027-09-07,2027-09-07,1978373.01,1544692.96,433016.16,663.89,5,EUR,Wire
82,6,2027-11-05,2027-11-10,1939790.78,1509804.32,428510.86,1475.6,0,EUR,Wire
83,6,2028-01-07,2028-01-12,2478227.73,1959250.77,518678.12,298.84,0,EUR,ACH
84,6,2028-03-12,2028-03-16,3684412.48,3095410.04,588462.5,539.94,1,EUR,Wire
85,7,2024-12-09,2024-12-04,166994.62,106334.19,59884.57,775.86,10,GBP,ACH
86,7,2025-02-19,2025-02-19,722641.57,657261.92,65339.21,40.44,5,GBP,ACH
87,7,2025-05-04,2025-05-07,60292.08,7216.27,51254.83,1820.98,2,GBP,Check
88,7,2025-07-24,2025-07-24,215700.04,173761.02,41749.78,189.24,5,GBP,Check
89,7,2025-10-04,2025-10-09,50103.99,1691.89,47868.93,543.17,0,GBP,Wire
90,7,2025-12-21,2025-12-26,289026.99,238776.76,48381.61,1868.62,0,GBP,Wire
91,7,2026-03-13,2026-03-13,228281.27,165110.09,61214.82,1956.36,5,GBP,ACH
92,7,2026-05-25,2026-05-30,784019.27,715058.31,67068.23,1892.73,0,GBP,ACH
93,7,2026-08-11,2026-08-15,508773.91,448664.34,58609.73,1499.84,1,GBP,ACH
94,7,2026-11-01,2026-11-01,226424.94,179493.19,46388.26,543.49,5,GBP,Check
95,7,2027-01-12,2027-01-17,62676.81,24092.47,38074.32,510.02,0,GBP,Wire
96,7,2027-03-31,2027-04-05,470810.05,406720.77,63242.73,846.55,0,GBP,Check
97,8,2024-06-10,2024-06-14,921770.44,722466.5,199256.97,46.97,1,EUR,Wire
98,8,2025-07-24,2025-07-29,1429297.29,1075170.51,353163.1,963.68,0,EUR,Check
99,8,2026-09-13,2026-09-13,774483.71,384091.97,388683.07,1708.67,5,EUR,Check
100,8,2027-10-29,2027-10-29,263702.71,62572.52,200837.37,292.82,5,EUR,ACH
101,8,2028-12-09,2028-12-13,759842.58,400538.41,357697.23,1606.94,1,EUR,Wire
102,9,2024-07-02,2024-07-02,1829650.41,1513401.51,314301.8,1947.1,5,EUR,Check
103,9,2025-03-21,2025-03-26,765514.89,402014.24,362050.18,1450.47,0,EUR,Check
104,9,2025-12-18,2025-12-18,1868968.29,1549200.13,319692.43,75.73,5,EUR,ACH
105,9,2026-09-11,2026-09-11,3562781.04,3174379.85,388101.44,299.75,5,EUR,Wire
106,9,2027-06-05,2027-06-05,2056364.14,1724671.25,329808.8,1884.09,5,EUR,Wire
107,9,2028-02-22,2028-02-27,644538.55,425001.82,219533.98,2.75,0,EUR,ACH
108,10,2023-09-21,2023-09-26,2307660.26,1891582.37,414528.9,1548.99,0,GBP,ACH
109,10,2024-01-29,2024-02-01,446605.27,157213.49,289323.23,68.55,2,GBP,Wire
110,10,2024-06-03,2024-06-08,2638050.77,2354529.12,282557.83,963.82,0,GBP,Check
111,10,2024-10-09,2024-10-14,1180436.73,886617.82,293469.52,349.39,0,GBP,Wire
112,10,2025-02-16,2025-02-19,371787.4,85026.45,286370.79,390.16,2,GBP,ACH
113,10,2025-06-22,2025-06-27,3815254.53,3380551.26,433826.66,876.61,0,GBP,Wire
114,10,2025-10-28,2025-11-02,2053328.69,1624507.67,427547.34,1273.68,0,GBP,Check
115,10,2026-03-15,2026-03-10,1919700.9,1486268.34,432842.05,590.51,10,GBP,Wire
116,10,2026-07-13,2026-07-16,2398477.03,2061183.69,336842.85,450.49,2,GBP,Wire
117,11,2025-03-18,2025-03-13,1167517.1,1011056.96,154909.03,1551.11,10,EUR,Wire
118,11,2025-08-10,2025-08-05,790285.27,637065.97,153147.61,71.69,10,EUR,ACH
119,11,2025-12-24,2025-12-29,194094.97,100761.03,91937.38,1396.56,0,EUR,Check
120,11,2026-05-23,2026-05-23,382568.85,265998.16,115380.02,1190.67,5,EUR,ACH
121,11,2026-10-11,2026-10-16,880403.16,735045.45,144908.85,448.86,0,EUR,Check
122,11,2027-03-07,2027-03-10,194557.07,81352.54,112222.04,982.49,2,EUR,Check
123,11,2027-07-29,2027-08-03,592740.0,461002.12,131056.16,681.72,0,EUR,Check
124,11,2027-12-21,2027-12-26,702468.88,570994.77,129915.46,1558.65,0,EUR,Check
125,11,2028-05-15,2028-05-20,927119.53,809436.65,116840.51,842.37,0,EUR,ACH
126,12,2025-02-19,2025-02-24,1366221.83,1211760.55,153944.74,516.54,0,USD,Wire
127,12,2025-04-11,2025-04-16,719371.48,579613.32,137906.98,1851.18,0,USD,ACH
128,12,2025-06-12,2025-06-07,543713.1,387667.3,155940.01,105.79,10,USD,Wire
129,12,2025-07-25,2025-07-28,1196591.11,1048072.68,148320.62,197.81,2,USD,Check
130,12,2025-09-18,2025-09-18,323257.74,195500.15,127680.4,77.19,5,USD,ACH
131,12,2025-11-03,2025-11-08,464015.28,265979.08,196937.14,1099.06,0,USD,Check
132,12,2025-12-26,2025-12-30,1108982.12,988009.43,119746.12,1226.57,1,USD,Wire
133,12,2026-02-14,2026-02-19,1284983.8,1124848.21,158550.01,1585.58,0,USD,Check
134,12,2026-04-17,2026-04-12,773616.32,601173.47,171365.13,1077.72,10,USD,Check
135,12,2026-05-28,2026-06-02,327302.62,195154.5,131009.88,1138.24,0,USD,Wire
136,12,2026-07-20,2026-07-24,1011367.76,825530.48,185558.75,278.53,1,USD,ACH
137,12,2026-09-18,2026-09-13,435413.29,225510.66,208292.62,1610.01,10,USD,Wire
138,12,2026-10-31,2026-11-04,623424.2,448746.46,174123.66,554.08,1,USD,ACH
139,12,2026-12-20,2026-12-25,198035.73,34126.18,162444.89,1464.66,0,USD,ACH
140,12,2027-02-11,2027-02-15,395093.91,230753.91,162366.0,1974.0,1,USD,Check
141,12,2027-04-02,2027-04-07,201582.88,73830.74,126777.95,974.19,0,USD,Wire
142,12,2027-05-29,2027-05-29,567600.59,433524.56,133355.51,720.52,5,USD,Wire
143,12,2027-07-24,2027-07-19,237968.65,55223.27,181256.76,1488.62,10,USD,Check
144,12,2027-09-04,2027-09-09,758771.79,641607.03,117106.31,58.45,0,USD,Wire
145,12,2027-10-26,2027-10-31,593442.89,386128.71,206156.97,1157.21,0,USD,Check
146,13,2023-12-23,2023-12-23,2016709.89,1550703.01,465746.61,260.27,5,USD,ACH
147,13,2024-02-01,2024-02-05,1844178.37,1506183.47,337066.86,928.04,1,USD,Wire
148,13,2024-03-15,2024-03-20,1304074.34,931576.98,371733.23,764.13,0,USD,ACH
149,13,2024-04-29,2024-05-04,3593842.78,3073228.7,518835.9,1778.18,0,USD,ACH
150,13,2024-06-13,2024-06-17,755908.4,319057.99,434954.64,1895.77,1,USD,ACH
151,13,2024-07-29,2024-08-01,1991481.96,1629476.32,361463.29,542.35,2,USD,ACH
152,13,2024-09-19,2024-09-14,3498764.2,3020926.7,476825.66,1011.84,10,USD,ACH
153,13,2024-10-23,2024-10-28,942127.72,658459.8,282641.66,1026.26,0,USD,Check
154,13,2024-12-07,2024-12-12,2720041.59,2212045.78,506371.66,1624.15,0,USD,Check
155,13,2025-01-30,2025-01-25,1745045.4,1444999.96,299230.15,815.29,10,USD,ACH
156,13,2025-03-06,2025-03-11,2018442.8,1527089.8,490917.73,435.27,0,USD,ACH
157,13,2025-04-21,2025-04-24,2741334.21,2319002.58,420859.49,1472.14,2,USD,Wire
158,13,2025-06-03,2025-06-08,2783360.12,2370627.77,411531.37,1200.98,0,USD,Check
159,13,2025-07-17,2025-07-22,1854942.72,1529467.05,324881.51,594.16,0,USD,Wire
160,13,2025-08-30,2025-09-04,3193078.66,2714648.95,476835.75,1593.96,0,USD,Wire
161,13,2025-10-14,2025-10-19,1380955.23,962909.63,417683.13,362.47,0,USD,Check
162,13,2025-11-28,2025-12-02,1242496.56,781551.97,460076.74,867.85,1,USD,Wire
163,13,2026-01-11,2026-01-16,1774462.52,1279839.26,493736.29,886.97,0,USD,Check
164,13,2026-03-06,2026-03-01,2128434.33,1598679.13,529691.38,63.82,10,USD,Wire
165,13,2026-04-20,2026-04-15,2200844.59,1822911.14,376971.75,961.7,10,USD,Check
166,14,2024-10-10,2024-10-14,539142.26,376269.1,162133.05,740.11,1,EUR,Wire
167,14,2025-01-04,2025-01-07,1708787.43,1552194.8,155947.35,645.28,2,EUR,ACH
168,14,2025-03-30,2025-04-03,197788.41,46650.19,150727.41,410.81,1,EUR,Check
169,14,2025-06-27,2025-06-27,831388.64,661361.74,168678.23,1348.67,5,EUR,Wire
170,14,2025-09-18,2025-09-21,1637753.35,1487460.02,149106.34,1186.99,2,EUR,Wire
171,14,2025-12-10,2025-12-15,1416889.57,1227508.77,188776.0,604.8,0,EUR,Wire
172,14,2026-03-07,2026-03-11,1894444.7,1699566.17,193470.53,1408.0,1,EUR,Wire
173,14,2026-05-31,2026-06-04,1040324.26,852901.48,186544.29,878.49,1,EUR,Wire
174,14,2026-09-03,2026-08-29,956290.53,795794.7,159324.45,1171.38,10,EUR,Check
175,14,2026-11-18,2026-11-23,1769880.64,1608843.38,159825.84,1211.42,0,EUR,Check
176,15,2024-07-04,2024-07-04,356631.41,211115.3,145354.34,161.77,5,EUR,ACH
177,15,2024-09-03,2024-09-06,782722.37,677783.3,104572.64,366.43,2,EUR,Wire
178,15,2024-11-14,2024-11-09,476956.58,301519.64,174098.42,1338.52,10,EUR,Wire
179,15,2025-01-09,2025-01-12,1058673.09,948521.89,108370.25,1780.95,2,EUR,ACH
180,15,2025-03-17,2025-03-17,961090.81,793306.4,167261.83,522.58,5,EUR,Check
181,15,2025-05-25,2025-05-20,1974607.23,1774575.73,199130.02,901.48,10,EUR,Check
182,15,2025-07-19,2025-07-23,514444.91,354899.29,158506.92,1038.7,1,EUR,Check
183,15,2025-09-25,2025-09-25,307367.05,192499.21,114746.01,121.83,5,EUR,Check
184,15,2025-11-23,2025-11-28,465256.68,339519.68,123775.12,1961.88,0,EUR,Check
185,15,2026-01-31,2026-01-31,420454.54,244237.73,174634.93,1581.88,5,EUR,Check
186,15,2026-04-10,2026-04-05,768225.83,663337.83,104485.33,402.67,10,EUR,ACH
187,15,2026-06-09,2026-06-09,1215600.57,1016329.23,198369.34,902.0,5,EUR,Wire
188,16,2024-10-01,2024-10-06,2882595.05,2470787.89,410904.4,902.76,0,USD,Wire
189,16,2025-03-10,2025-03-05,884969.34,453008.83,430601.16,1359.35,10,USD,ACH
190,16,2025-08-03,2025-08-03,959989.58,601490.08,358232.84,266.66,5,USD,Wire
191,16,2025-12-31,2025-12-31,844718.54,531727.54,312274.13,716.87,5,USD,ACH
192,16,2026-05-26,2026-05-31,1911161.31,1543628.84,366927.67,604.8,0,USD,Check
193,16,2026-10-26,2026-10-29,2111725.53,1837771.31,272979.87,974.35,2,USD,ACH
194,16,2027-03-24,2027-03-28,3099125.08,2648251.13,450482.69,391.26,1,USD,ACH
195,16,2027-08-23,2027-08-26,728675.04,411396.18,315861.72,1417.14,2,USD,Check
196,16,2028-01-21,2028-01-24,1352297.06,899604.46,450899.03,1793.57,2,USD,Wire
197,17,2024-04-21,2024-04-26,287298.14,242934.94,43990.12,373.08,0,EUR,Check
198,17,2024-08-12,2024-08-17,720728.51,669535.75,50529.78,662.98,0,EUR,Wire
199,17,2024-12-08,2024-12-08,69291.1,19339.79,49675.88,275.43,5,EUR,ACH
200,17,2025-03-31,2025-03-31,711600.78,654422.94,55417.12,1760.72,5,EUR,ACH
201,17,2025-07-19,2025-07-22,553326.77,513025.55,39677.22,624.0,2,EUR,Check
202,17,2025-11-07,2025-11-12,627175.29,587179.63,39946.88,48.78,0,EUR,Check
203,17,2026-03-01,2026-03-05,443387.72,397768.16,43967.78,1651.78,1,EUR,Check
204,17,2026-07-01,2026-06-26,778066.03,720744.92,55404.37,1916.74,10,EUR,Check
205,17,2026-10-22,2026-10-17,189827.46,146814.14,41107.86,1905.46,10,EUR,Check
206,17,2027-02-12,2027-02-07,318829.93,280368.5,36681.6,1779.83,10,EUR,ACH
207,17,2027-05-27,2027-05-31,576463.82,542353.38,34097.17,13.27,1,EUR,ACH
208,17,2027-09-26,2027-09-21,529353.75,483940.13,44336.77,1076.85,10,EUR,ACH
209,17,2028-01-18,2028-01-13,262152.35,229754.89,31684.95,712.51,10,EUR,ACH
210,18,2024-09-12,2024-09-12,1912249.15,1499999.89,411280.65,968.61,5,EUR,Wire
211,18,2024-10-09,2024-10-14,991168.49,591467.57,398286.28,1414.64,0,EUR,Wire
212,18,2024-11-11,2024-11-15,1907094.96,1504495.56,401702.46,896.94,1,EUR,ACH
213,18,2024-12-13,2024-12-18,1342645.92,950101.99,391896.44,647.49,0,EUR,ACH
214,18,2025-01-16,2025-01-19,923566.75,609150.48,314361.52,54.75,2,EUR,Check
215,18,2025-02-15,2025-02-20,1382838.84,900794.6,481778.35,265.89,0,EUR,ACH
216,18,2025-03-20,2025-03-25,1448663.63,1028899.63,417986.33,1777.67,0,EUR,ACH
217,18,2025-04-23,2025-04-26,339323.48,54090.84,284792.83,439.81,2,EUR,Wire
218,18,2025-05-23,2025-05-28,430622.15,2402.24,426686.51,1533.4,0,EUR,ACH
219,18,2025-06-26,2025-06-30,1283922.1,964281.0,317878.71,1762.39,1,EUR,ACH
220,18,2025-07-28,2025-08-01,802165.26,297034.93,504817.85,312.48,1,EUR,ACH
221,18,2025-08-29,2025-09-02,915433.52,555336.13,360007.36,90.03,1,EUR,Check
222,18,2025-10-05,2025-10-05,1167356.4,659526.39,507136.43,693.58,5,EUR,Check
223,18,2025-11-06,2025-11-06,633834.21,333692.63,299841.26,300.32,5,EUR,Wire
224,18,2025-12-09,2025-12-09,2085136.84,1599469.61,484028.75,1638.48,5,EUR,ACH
225,19,2024-10-18,2024-10-23,1404745.55,1214337.63,188866.65,1541.27,0,GBP,Check
226,19,2025-03-02,2025-03-05,3163218.85,2979925.61,182174.9,1118.34,2,GBP,ACH
227,19,2025-07-22,2025-07-17,2956276.34,2716711.17,239410.61,154.56,10,GBP,Wire
228,19,2025-11-23,2025-11-28,507125.16,302716.71,202594.39,1814.06,0,GBP,Check
229,19,2026-04-06,2026-04-11,501814.5,353835.87,146071.54,1907.09,0,GBP,ACH
230,20,2025-02-09,2025-02-14,923480.93,839134.2,82545.92,1800.81,0,EUR,ACH
231,20,2025-06-26,2025-07-01,402425.12,344360.65,56650.17,1414.3,0,EUR,ACH
232,20,2025-11-11,2025-11-16,378360.09,306644.72,70598.94,1116.43,0,EUR,ACH
233,20,2026-03-29,2026-04-03,454205.91,371340.58,82288.18,577.15,0,EUR,ACH
234,20,2026-08-16,2026-08-19,241395.84,172030.8,68461.81,903.23,2,EUR,Wire
235,20,2026-12-30,2027-01-04,56472.86,7510.75,47388.45,1573.66,0,EUR,Wire
236,20,2027-05-21,2027-05-21,776832.09,699211.94,76037.76,1582.39,5,EUR,Check
237,20,2027-10-11,2027-10-06,688796.43,602412.73,85880.15,503.55,10,EUR,Wire
238,20,2028-02-16,2028-02-21,712372.74,627266.3,84768.72,337.72,0,EUR,Wire
239,20,2028-07-03,2028-07-08,544357.16,490117.46,53057.77,1181.93,0,EUR,ACH
240,20,2028-11-20,2028-11-23,503252.8,425698.94,76472.47,1081.39,2,EUR,Wire
241,20,2029-04-07,2029-04-10,666354.55,588168.36,76766.3,1419.89,2,EUR,ACH
242,21,2024-12-20,2024-12-23,688207.24,615269.17,72156.11,781.96,2,EUR,Wire
243,21,2025-07-03,2025-07-08,235681.29,173852.06,61158.17,671.06,0,EUR,ACH
244,21,2026-01-17,2026-01-21,160908.94,96797.48,63306.75,804.71,1,EUR,Wire
245,21,2026-08-01,2026-08-06,630944.4,562810.53,66321.14,1812.73,0,EUR,ACH
246,21,2027-02-24,2027-02-19,900474.77,806965.07,93497.99,11.71,10,EUR,Check
247,21,2027-08-31,2027-09-04,1138278.98,1032069.46,105221.82,987.7,1,EUR,Check
248,21,2028-03-16,2028-03-19,280509.38,218569.15,61240.38,699.85,2,EUR,ACH
249,21,2028-10-07,2028-10-02,310674.19,204873.1,104222.33,1578.76,10,EUR,Wire
250,21,2029-04-17,2029-04-17,186909.94,93918.65,92473.69,517.6,5,EUR,Wire
251,21,2029-10-26,2029-10-31,366402.27,255937.95,108967.09,1497.23,0,EUR,Check
252,22,2023-11-17,2023-11-22,2060565.65,1540563.67,518513.65,1488.33,0,USD,Wire
253,22,2023-12-29,2024-01-03,1582952.72,1105670.6,476591.79,690.33,0,USD,ACH
254,22,2024-02-09,2024-02-14,1384318.5,1037636.47,346123.93,558.1,0,USD,Check
255,22,2024-03-22,2024-03-27,416389.87,52030.19,363622.31,737.37,0,USD,Check
256,22,2024-05-04,2024-05-08,699309.98,361620.8,335945.68,1743.5,1,USD,Check
257,22,2024-06-14,2024-06-19,2177748.63,1684943.57,491729.47,1075.59,0,USD,ACH
258,22,2024-07-28,2024-07-31,1764662.21,1223346.77,540820.89,494.55,2,USD,Wire
259,22,2024-09-06,2024-09-11,561145.49,267436.62,293125.47,583.4,0,USD,Wire
260,22,2024-10-19,2024-10-23,1757750.06,1220204.14,536919.88,626.04,1,USD,Check
261,22,2024-12-04,2024-12-04,2909463.44,2420849.86,487961.65,651.93,5,USD,ACH
262,22,2025-01-10,2025-01-15,609586.08,131970.78,477390.3,225.0,0,USD,ACH
263,22,2025-02-23,2025-02-26,1227823.76,787430.49,439686.9,706.37,2,USD,ACH
264,22,2025-04-04,2025-04-09,640529.87,272182.95,366459.41,1887.51,0,USD,ACH
265,22,2025-05-21,2025-05-21,2644297.33,2145252.01,498217.98,827.34,5,USD,Check
266,22,2025-06-28,2025-07-02,1943943.58,1479663.8,462652.87,1626.91,1,USD,ACH
267,22,2025-08-09,2025-08-13,1222214.64,897368.77,323130.41,1715.46,1,USD,Wire
268,23,2024-05-30,2024-05-30,888974.71,652072.42,236899.67,2.62,5,GBP,ACH
269,23,2024-07-19,2024-07-24,1240825.77,909387.62,330308.37,1129.78,0,GBP,Check
270,23,2024-09-14,2024-09-17,959743.74,664580.46,294948.23,215.05,2,GBP,ACH
271,23,2024-11-06,2024-11-11,1193777.88,909976.33,282172.19,1629.36,0,GBP,Check
272,23,2024-12-31,2025-01-05,318798.54,138248.63,179663.18,886.73,0,GBP,Check
273,23,2025-02-24,2025-03-01,1702185.49,1390648.99,311172.3,364.2,0,GBP,Wire
274,23,2025-04-25,2025-04-25,401750.4,234603.69,166543.6,603.11,5,GBP,Check
275,23,2025-06-14,2025-06-19,863651.01,594321.67,269172.64,156.7,0,GBP,Wire
276,23,2025-08-13,2025-08-13,606525.71,392228.67,212647.99,1649.05,5,GBP,ACH
277,23,2025-10-07,2025-10-07,1382251.75,1157410.03,223448.44,1393.28,5,GBP,Check
278,23,2025-11-26,2025-12-01,1352605.04,1109718.12,242691.78,195.14,0,GBP,Wire
279,23,2026-01-30,2026-01-25,1060777.92,887921.35,171859.68,996.89,10,GBP,Check
280,23,2026-03-16,2026-03-21,426306.12,192649.26,232975.67,681.19,0,GBP,Wire
281,23,2026-05-10,2026-05-15,1183572.16,930062.92,251664.02,1845.22,0,GBP,Check
282,23,2026-07-04,2026-07-09,1207966.7,935642.84,271050.25,1273.61,0,GBP,Wire
283,23,2026-08-30,2026-09-02,840821.49,526148.28,312939.09,1734.12,2,GBP,ACH
284,23,2026-10-23,2026-10-27,292202.71,62290.31,229433.63,478.77,1,GBP,Wire
285,23,2026-12-16,2026-12-21,882572.77,703278.97,177706.11,1587.69,0,GBP,ACH
286,23,2027-02-19,2027-02-14,621828.67,354879.71,265877.21,1071.75,10,GBP,Wire
287,23,2027-04-08,2027-04-11,1598974.7,1339660.85,258382.35,931.5,2,GBP,Wire
288,24,2025-04-02,2025-04-07,462724.98,411871.62,50066.23,787.13,0,EUR,Wire
289,24,2025-06-27,2025-06-27,160685.04,102494.5,57554.47,636.07,5,EUR,Wire
290,24,2025-09-12,2025-09-17,233314.62,150839.5,82091.39,383.73,0,EUR,ACH
